Kanji,Kanji_Core_Meaning,Word,Word_Reading,English_Meaning,Connection_Type,Figurative_Note,Position_in_Deck
内,"inside, within",内側,うちがわ,"inside, interior",direct,,1334
内,"inside, within",内容,ないよう,contents,direct,,1485
客,"guest, visitor",客,きゃく,"visitor, customer",direct,,467
雨,rain,雨,あめ,rain,direct,,471
雨,rain,梅雨,つゆ,rainy season,direct,,1727
雪,snow,雪,ゆき,"snow, snowfall",direct,,472
青,"blue, green",青い,あおい,blue,direct,,474
青,"blue, green",青,あお,"blue, green, green light",direct,,475
青,"blue, green",真っ青,まっさお,"deep-blue, pale (skin)",direct,,967
明,"bright, light",明らか,あきらか,"clear, obvious",direct,,477
明,"bright, light",明るい,あかるい,"bright, cheerful",direct,,479
明,"bright, light",明日,あした,tomorrow,direct,,480
明,"bright, light",明後日,あさって,day after tomorrow,direct,,513
明,"bright, light",説明,せつめい,"explanation, description",direct,,1094
暗,"darkness, disappear",暗い,くらい,"dark, dreary, shadowy",direct,,481
暗,"darkness, disappear",真っ暗,まっくら,pitch-dark,direct,,965
東,east,東,ひがし,"east, eastern",direct,,486
西,"west, spain",西,にし,"west, western",direct,,487
西,"west, spain",西暦,せいれき,"CE, AD (year)",direct,,1601
南,south,南,みなみ,south,direct,,489
北,north,北,きた,north,direct,,490
向,"yonder, facing",方向,ほうこう,"direction, course",direct,,491
向,"yonder, facing",向かう,むかう,"face, head toward, confront",direct,,492
向,"yonder, facing",向こう,むこう,"the other side, the other party, opponent",direct,,494
向,"yonder, facing",向く,むく,"turn, face, look",direct,,495
向,"yonder, facing",向こう側,むこうがわ,other side,direct,,1335
向,"yonder, facing",傾向,けいこう,"tendency, inclination",direct,,1536
最,"utmost, most",最大,さいだい,"biggest, largest",direct,,505
最,"utmost, most",最初,さいしょ,"the beginning, first",direct,,507
最,"utmost, most",最後,さいご,"last, final",direct,,511
最,"utmost, most",最近,さいきん,"lately, recent",direct,,593
初,"first time, beginning",初めて,はじめて,"first, for the first time",direct,,506
初,"first time, beginning",最初,さいしょ,"the beginning, first",direct,,507
初,"first time, beginning",初め,はじめ,"beginning, start",direct,,508
牛,cow,牛,うし,"cattle, cow",direct,,514
牛,cow,牛肉,ぎゅうにく,beef,direct,,624
牛,cow,牛乳,ぎゅうにゅう,milk,direct,,1639
半,"half, middle",半分,はんぶん,half,direct,,515
半,"half, middle",半年,はんとし,half a year,direct,,516
半,"half, middle",半月,はんつき,half a month,direct,,518
半,"half, middle",半日,はんにち,half a day,direct,,519
半,"half, middle",半袖,はんそで,short-sleeved shirt,direct,,1753
夕,evening,夕方,ゆうがた,evening,direct,,531
夕,evening,夕食,ゆうしょく,supper (polite),direct,,535
夕,evening,夕飯,ゆうはん,"evening meal, supper (かたい)",direct,,536
夕,evening,夕刊,ゆうかん,evening edition,direct,,1344
語,"word, speech",語る,かたる,"tell (a story), talk about",direct,,544
語,"word, speech",言語,げんご,"language, speech",direct,,545
語,"word, speech",外国語,がいこくご,foreign language,direct,,614
語,"word, speech",敬語,けいご,"honorific language, polite speech",direct,,1694
語,"word, speech",英語,えいご,English,direct,,1827
文,"sentence, literature",文字,もじ,"character, letter",direct,,546
文,"sentence, literature",作文,さくぶん,"composition, essay",direct,,643
文,"sentence, literature",文化,ぶんか,culture,direct,,874
文,"sentence, literature",注文,ちゅうもん,"order, request",figurative,pour + writing/words → placing a request → order,1073
文,"sentence, literature",文房具,ぶんぼうぐ,"stationery, writing materials",direct,,1304
文,"sentence, literature",例文,れいぶん,example sentence,direct,,1366
文,"sentence, literature",文章,ぶんしょう,"writing, prose",direct,,1710
社,"company, firm",会社,かいしゃ,"company, corporation",direct,,557
社,"company, firm",社会,しゃかい,society,direct,,558
社,"company, firm",社員,しゃいん,"staff member, employee",direct,,559
社,"company, firm",社長,しゃちょう,president (of a company),direct,,595
社,"company, firm",神社,じんじゃ,Shinto shrine,direct,,1271
員,"employee, member",社員,しゃいん,"staff member, employee",direct,,559
員,"employee, member",駅員,えきいん,station attendant,direct,,571
員,"employee, member",店員,てんいん,"clerk, salesperson",direct,,651
員,"employee, member",議員,ぎいん,legislator,direct,,1034
故,"happenstance, especially",事故,じこ,"accident, incident",direct,,565
故,"happenstance, especially",交通事故,こうつうじこ,traffic accident,direct,,575
故,"happenstance, especially",故障,こしょう,"malfunction, fault, breakdown",direct,,1203
工,"craft, construction",工事,こうじ,construction work,direct,,566
工,"craft, construction",工場,こうじょう,"factory, plant",direct,,567
工,"craft, construction",工業,こうぎょう,manufacturing industry,direct,,809
工,"craft, construction",加工,かこう,"processing, manufacturing<div>(turning st into st else)</div>",direct,,1198
通,"traffic, pass through",通り,とおり,"boulevard, street",direct,,572
通,"traffic, pass through",通る,とおる,"pass, take (a road), go through",direct,,573
通,"traffic, pass through",通う,かよう,"go (a place) often, go to and from",direct,,574
通,"traffic, pass through",交通事故,こうつうじこ,traffic accident,direct,,575
通,"traffic, pass through",交通費,こうつうひ,"traveling expense, transportation cost",direct,,646
通,"traffic, pass through",通学,つうがく,going to school,direct,,754
通,"traffic, pass through",通過,つうか,"passing, passage",direct,,925
通,"traffic, pass through",普通,ふつう,"normal, regular",figurative,"spread/universal + pass through → widely passing through → normal, regular",1047
通,"traffic, pass through",通常,つうじょう,"common, ordinary",direct,,1123
通,"traffic, pass through",通勤,つうきん,commute,direct,,1177
交,"mingle, mixing",交通事故,こうつうじこ,traffic accident,direct,,575
交,"mingle, mixing",交通費,こうつうひ,"traveling expense, transportation cost",direct,,646
交,"mingle, mixing",交番,こうばん,police box,direct,,699
交,"mingle, mixing",交差点,こうさてん,"intersection, crossing",direct,,825
交,"mingle, mixing",交渉,こうしょう,"negotiation, bargaining",direct,,1191
路,"path, route",道路,どうろ,"road, street",direct,,579
地,"ground, earth",土地,とち,land,direct,,580
地,"ground, earth",地図,ちず,"map, atlas",direct,,581
地,"ground, earth",地下鉄,ちかてつ,subway,direct,,623
地,"ground, earth",番地,ばんち,"house number, address",direct,,700
地,"ground, earth",地球,ちきゅう,the Earth,direct,,1263
地,"ground, earth",地震,じしん,earthquake,direct,,1267
地,"ground, earth",地域,ちいき,"region, area",direct,,1441
渡,"transit, ford",渡す,わたす,"<!--anki-->hand over, carry across",direct,,587
渡,"transit, ford",渡る,わたる,"cross, ford, go across",direct,,588
度,"degrees, occurrence",年度,ねんど,"fiscal year, school year",direct,,589
度,"degrees, occurrence",今度,こんど,"this time, next time",direct,,590
度,"degrees, occurrence",何度,なんど,"how many degrees, how many times",direct,,592
度,"degrees, occurrence",温度,おんど,temperature,direct,,673
度,"degrees, occurrence",制度,せいど,"system, organization",direct,,766
度,"degrees, occurrence",程度,ていど,"degree, extent",direct,,1402
界,"world, boundary",世界,せかい,world,direct,,615
世,"generation, world",世界,せかい,world,direct,,615
世,"generation, world",世紀,せいき,century,direct,,1277
黒,black,黒い,くろい,black<div><br /></div>,direct,,616
黒,black,黒,くろ,black,direct,,617
黒,black,真っ黒,まっくろ,"deep-black, jet-black",direct,,966
黒,black,黒板,こくばん,blackboard,direct,,1471
銀,silver,銀行,ぎんこう,bank,direct,,621
銀,silver,銀,ぎん,silver,direct,,622
鉄,iron,地下鉄,ちかてつ,subway,direct,,623
肉,meat,牛肉,ぎゅうにく,beef,direct,,624
肉,meat,肉,にく,"meat, flesh",direct,,625
肉,meat,豚肉,ぶたにく,"pork, hog meat",direct,,1612
魚,fish,魚,さかな,fish,direct,,626
野,"plains, field",分野,ぶんや,"field, sphere",direct,,627
野,"plains, field",野菜,やさい,vegetable,direct,,628
野,"plains, field",野球,やきゅう,baseball,direct,,1264
菜,"vegetable, side dish",野菜,やさい,vegetable,direct,,628
味,"flavor, taste",味,あじ,"taste, flavor",direct,,635
味,"flavor, taste",意味,いみ,"meaning, significance",direct,,1074
味,"flavor, taste",趣味,しゅみ,"hobby, interest",figurative,"direction/lean + taste → ""taste"" extended to → hobby, interest",1329
味,"flavor, taste",味噌汁,みそしる,miso soup,direct,,1760
未,"un-, not yet",未来,みらい,future,direct,,636
末,"end, close",週末,しゅうまつ,weekend,direct,,637
料,"fee, materials",料理,りょうり,"cooking;<br>handling, management",direct,,638
料,"fee, materials",材料,ざいりょう,"ingredients, material",direct,,1083
料,"fee, materials",給料,きゅうりょう,"salary, pay",direct,,1186
理,"logic, arrangement",料理,りょうり,"cooking;<br>handling, management",direct,,638
理,"logic, arrangement",無理,むり,"unreasonable, impossible, forced",direct,,639
理,"logic, arrangement",理由,りゆう,"reason, cause",direct,,1025
理,"logic, arrangement",理科,りか,science,direct,,1062
理,"logic, arrangement",修理,しゅうり,"repair, mending",direct,,1204
理,"logic, arrangement",管理,かんり,"management, administration",figurative,"pipe/tube + manage → secondary sense of 管 as ""administer"" → management",1219
理,"logic, arrangement",処理,しょり,"processing,&nbsp;management<div>(unlike 加工, a new thing is not created)</div>",direct,,1410
無,"nothingness, none",無理,むり,"unreasonable, impossible, forced",direct,,639
無,"nothingness, none",無くなる,なくなる,"disappear, run short, get lost",direct,,642
無,"nothingness, none",無い,ない,to not be,direct,,1801
用,"utilize, business",用いる,もちいる,"use, make use of",direct,,644
用,"utilize, business",用事,ようじ,"things to do, errand, business",direct,,645
用,"utilize, business",利用,りよう,"utilization, usage",direct,,811
用,"utilize, business",用意,ようい,"prepare, ready oneself",direct,,1077
用,"utilize, business",採用,さいよう,employment,direct,,1185
費,"expense, cost",交通費,こうつうひ,"traveling expense, transportation cost",direct,,646
品,"goods, refinement",商品,しょうひん,"goods, commodities",direct,,653
品,"goods, refinement",作品,さくひん,"work of art, piece",direct,,654
品,"goods, refinement",品物,しなもの,"article, thing",direct,,718
商,"make a deal, selling",商品,しょうひん,"goods, commodities",direct,,653
商,"make a deal, selling",商業,しょうぎょう,"business, commerce",direct,,810
販,"marketing, sell",販売,はんばい,"sale, selling",direct,,655
階,"storey, stair",二階,にかい,"second floor, upstairs",direct,,656
階,"storey, stair",段階,だんかい,"stage, step",direct,,658
階,"storey, stair",階段,かいだん,"steps, flight of stairs",direct,,659
段,"grade, steps",段階,だんかい,"stage, step",direct,,658
段,"grade, steps",階段,かいだん,"steps, flight of stairs",direct,,659
段,"grade, steps",段々,だんだん,"gradually, one after another",direct,,660
段,"grade, steps",値段,ねだん,price,direct,,661
値,"price, cost",値段,ねだん,price,direct,,661
格,"status, rank",価格,かかく,"price, cost (formal)",direct,,662
格,"status, rank",合格,ごうかく,"passing an examination, eligibility",direct,,663
価,"value, price",価格,かかく,"price, cost (formal)",direct,,662
価,"value, price",評価,ひょうか,"evaluation, rating",direct,,1201
季,seasons,四季,しき,the four seasons,direct,,666
季,seasons,季節,きせつ,season,direct,,1127
温,warm,温度,おんど,temperature,direct,,673
温,warm,気温,きおん,atmospheric temperature,direct,,674
台,"pedestal, a stand",台,だい,"stand, platform",direct,,675
台,"pedestal, a stand",台風,たいふう,typhoon,figurative,"台 here ties to a historical transliteration, not simply ""platform""",677
台,"pedestal, a stand",台所,だいどころ,kitchen,direct,,704
情,"feelings, emotion",事情,じじょう,"circumstances, conditions",figurative,"matter + emotion/circumstance → the ""feel"" of a situation → circumstances",678
情,"feelings, emotion",情報,じょうほう,information,figurative,emotion/circumstance + report → a situation-report → information,680
報,"report, news",情報,じょうほう,information,figurative,emotion/circumstance + report → a situation-report → information,680
報,"report, news",報告,ほうこく,report,direct,,681
報,"report, news",天気予報,てんきよほう,weather forecast,direct,,863
告,"revelation, tell",報告,ほうこく,report,direct,,681
心,"heart, mind",中心,ちゅうしん,"center, middle, core",direct,,685
心,"heart, mind",安心,あんしん,"peace of mind, relief",direct,,686
心,"heart, mind",心配,しんぱい,"anxiety, worry, assistance",figurative,heart/mind + distribute → attention scattered in different directions → worry,725
解,"unravel, notes",解決,かいけつ,"solution, settlement",direct,,690
能,"ability, talent",能力,のうりょく,"ability, capacity",direct,,692
能,"ability, talent",可能,かのう,"possible, potential",direct,,693
能,"ability, talent",機能,きのう,"function, feature",direct,,1080
可,"can, passable",可能,かのう,"possible, potential",direct,,693
可,"can, passable",可,か,"permitted, OK",direct,,694
可,"can, passable",可愛い,かわいい,"cute, charming, sweet",direct,,1423
郵,"mail, stagecoach stop",郵便,ゆうびん,mail,direct,,695
郵,"mail, stagecoach stop",郵便屋さん,ゆうびんやさん,mailman,direct,,697
郵,"mail, stagecoach stop",郵便局,ゆうびんきょく,post office,direct,,698
便,"convenience, facility",郵便,ゆうびん,mail,direct,,695
便,"convenience, facility",不便,ふべん,inconvenient,direct,,696
便,"convenience, facility",郵便屋さん,ゆうびんやさん,mailman,direct,,697
便,"convenience, facility",郵便局,ゆうびんきょく,post office,direct,,698
便,"convenience, facility",便所,べんじょ,"bathroom, lavatory",direct,,706
便,"convenience, facility",便利,べんり,"convenience, handiness",direct,,812
便,"convenience, facility",航空便,こうくうびん,airmail,direct,,1104
便,"convenience, facility",船便,ふなびん,surface mail&nbsp;(ship),direct,,1105
不,"negative, non-",不便,ふべん,inconvenient,direct,,696
不,"negative, non-",不動産屋,ふどうさんや,"real estate agent, realtor",figurative,不動 (un-moving) property + shop,911
不,"negative, non-",不親切,ふしんせつ,"unkind, inattentive",direct,,1006
不,"negative, non-",不幸,ふこう,"unhappiness, misfortune, a death",direct,,1378
局,"bureau, board",郵便局,ゆうびんきょく,post office,direct,,698
号,"nickname, number",番号,ばんごう,number,direct,,701
号,"nickname, number",信号,しんごう,"signal, traffic light",direct,,1028
所,"place, extent",場所,ばしょ,"place, space",direct,,702
所,"place, extent",近所,きんじょ,neighborhood,direct,,703
所,"place, extent",台所,だいどころ,kitchen,direct,,704
所,"place, extent",住所,じゅうしょ,"address, one's dwelling",direct,,705
所,"place, extent",便所,べんじょ,"bathroom, lavatory",direct,,706
所,"place, extent",事務所,じむしょ,"office, one's place of business",direct,,1179
所,"place, extent",洗面所,せんめんじょ,"washroom, bathroom",direct,,1242
所,"place, extent",停留所,ていりゅうじょ,"stop, station",direct,,1316
有,"possess, have",有名,ゆうめい,famous,direct,,707
氏,"family name, surname",氏名,しめい,full name,direct,,710
各,"each, every",各国,かっこく,every country,direct,,711
町,"town, village",町,まち,"town, city quarter",direct,,712
都,"metropolis, capital",都市,とし,"city, urban community",direct,,713
都,"metropolis, capital",都合,つごう,circumstances,figurative,"capital/all + fit/join → doesn't map directly → circumstances, convenience",714
都,"metropolis, capital",首都,しゅと,capital,figurative,"neck/head + capital → ""head"" extended to ""leading"" → capital city",1162
市,"market, city",都市,とし,"city, urban community",direct,,713
市,"market, city",市民,しみん,"citizens, townsmen",direct,,1030
荷,"baggage, shoulder-pole load",荷物,にもつ,"baggage, package",direct,,717
配,"distribute, spouse",配る,くばる,"hand out, distribute",direct,,723
配,"distribute, spouse",配達,はいたつ,delivery,direct,,724
配,"distribute, spouse",心配,しんぱい,"anxiety, worry, assistance",figurative,heart/mind + distribute → attention scattered in different directions → worry,725
受,"accept, undergo",受ける,うける,"receive, accept",direct,,728
受,"accept, undergo",受け取る,うけとる,"get (st from so), receive<div>take (as in take as an insult)</div>",direct,,729
受,"accept, undergo",受け付ける,うけつける,"accept, receive",direct,,1355
受,"accept, undergo",受付,うけつけ,"receptionist, front desk",direct,,1358
届,"deliver, reach",届く,とどく,"reach, be delivered",direct,,732
届,"deliver, reach",届ける,とどける,"deliver, notify",direct,,733
打,"strike, hit",打つ,うつ,"hit, strike",direct,,739
投,"throw, discard",投げる,なげる,"throw, give up",direct,,740
投,"throw, discard",投資,とうし,investment,direct,,1116
性,"sex, gender",女性,じょせい,"female, woman (formal)",direct,,743
産,"products, bear",生産,せいさん,production,direct,,744
産,"products, bear",お土産,おみやげ,souvenir,direct,,745
産,"products, bear",産業,さんぎょう,industry,direct,,808
産,"products, bear",不動産屋,ふどうさんや,"real estate agent, realtor",figurative,不動 (un-moving) property + shop,911
活,"lively, resuscitation",生活,せいかつ,"life, living",direct,,747
活,"lively, resuscitation",活動,かつどう,activity,direct,,908
徒,"on foot, junior",生徒,せいと,"pupil, student",direct,,748
育,"bring up, grow up",教育,きょういく,education,direct,,762
育,"bring up, grow up",育てる,そだてる,"raise, bring up",direct,,763
育,"bring up, grow up",育つ,そだつ,"grow, be raised",direct,,765
制,"system, law",制度,せいど,"system, organization",direct,,766
押,"push, stop",押さえる,おさえる,"hold down, hold back",direct,,771
押,"push, stop",押し入れ,おしいれ,closet,direct,,772
練,"practice, gloss",練習,れんしゅう,"practice, training",direct,,773
習,learn,練習,れんしゅう,"practice, training",direct,,773
習,learn,習う,ならう,"learn, practice",direct,,775
習,learn,習慣,しゅうかん,"custom, habit",direct,,777
習,learn,予習,よしゅう,preparation for class,direct,,865
習,learn,自習,じしゅう,"self-study, self-teaching",direct,,1024
習,learn,復習,ふくしゅう,review,direct,,1312
慣,"accustomed, get used to",慣れる,なれる,grow accustomed to,direct,,776
慣,"accustomed, get used to",習慣,しゅうかん,"custom, habit",direct,,777
研,"polish, study of",研究,けんきゅう,"research, study",direct,,778
究,"research, study",研究,けんきゅう,"research, study",direct,,778
験,"verification, effect",試験,しけん,"exam, test",direct,,779
験,"verification, effect",経験,けいけん,experience,direct,,800
験,"verification, effect",実験,じっけん,experiment,direct,,924
試,"test, try",試験,しけん,"exam, test",direct,,779
題,"topic, subject",問題,もんだい,"problem, question",direct,,780
題,"topic, subject",宿題,しゅくだい,homework,direct,,997
題,"topic, subject",課題,かだい,"task, problem",direct,,1018
簡,"simplicity, brevity",簡単,かんたん,"simple, easy",direct,,781
単,"simple, one",簡単,かんたん,"simple, easy",direct,,781
雑,miscellaneous,複雑,ふくざつ,"complicated, intricate",direct,,782
雑,miscellaneous,雑誌,ざっし,"magazine, journal",direct,,945
複,"duplicate, double",複雑,ふくざつ,"complicated, intricate",direct,,782
回,"-times, round",今回,こんかい,this time,direct,,786
回,"-times, round",回る,まわる,"turn round, go round, detour",direct,,787
回,"-times, round",回す,まわす,"turn, rotate",direct,,788
個,"individual, counter for articles",個人,こじん,"individual, personal",direct,,789
担,"shouldering, carry",担当,たんとう,in charge (of something),direct,,790
然,"sort of thing, so",当然,とうぜん,"naturally, of course",direct,,794
然,"sort of thing, so",全然,ぜんぜん,"(not) at all, totally (not)",direct,,795
然,"sort of thing, so",自然,しぜん,nature,direct,,1022
然,"sort of thing, so",自然,しぜん,"natural, naturally",direct,,1023
法,"method, law",方法,ほうほう,"way, method, procedure",direct,,796
法,"method, law",法律,ほうりつ,law,direct,,797
律,"rhythm, law",法律,ほうりつ,law,direct,,797
則,"rule, follow",規則,きそく,"rule, regulation",direct,,798
規,"standard, measure",規則,きそく,"rule, regulation",direct,,798
規,"standard, measure",規模,きぼ,"scale (big, smallなど), scope",direct,,1383
経,"sutra, longitude",経験,けいけん,experience,direct,,800
経,"sutra, longitude",経つ,たつ,"pass, elapse",direct,,801
経,"sutra, longitude",経済,けいざい,"economy, economics",direct,,802
経,"sutra, longitude",経営,けいえい,"management, operation",direct,,803
済,"settle (debt, etc.), relieve (burden)",経済,けいざい,"economy, economics",direct,,802
営,"occupation, camp",経営,けいえい,"management, operation",direct,,803
株,"stocks, stump",株,かぶ,"stocks, shares",direct,,805
企,"undertake, scheme",企業,きぎょう,"business, corporation",direct,,806
利,"profit, advantage",利用,りよう,"utilization, usage",direct,,811
利,"profit, advantage",便利,べんり,"convenience, handiness",direct,,812
技,"skill, art",技術,ぎじゅつ,"skill, technology",direct,,813
術,"art, technique",技術,ぎじゅつ,"skill, technology",direct,,813
術,"art, technique",手術,しゅじゅつ,surgical operation,direct,,814
術,"art, technique",美術館,びじゅつかん,art museum,direct,,1505
製,"made in..., manufacture",製造,せいぞう,"production, manufacture",direct,,815
造,"create, make",製造,せいぞう,"production, manufacture",direct,,815
造,"create, make",構造,こうぞう,"structure, the construction",direct,,1282
必,"invariably, certain",必ず,かならず,"without fail, certainly",direct,,816
必,"invariably, certain",必要,ひつよう,"need, necessity",direct,,817
求,"request, want",要求,ようきゅう,"requirement, demand",direct,,819
算,"calculate, divining",計算,けいさん,calculation,direct,,822
算,"calculate, divining",引き算,ひきざん,subtraction,direct,,823
算,"calculate, divining",足し算,たしざん,addition,direct,,824
算,"calculate, divining",割り算,わりざん,division,direct,,828
算,"calculate, divining",掛け算,かけざん,multiplication,direct,,1649
差,"distinction, difference",交差点,こうさてん,"intersection, crossing",direct,,825
差,"distinction, difference",差,さ,difference,direct,,1774
点,"spot, point",交差点,こうさてん,"intersection, crossing",direct,,825
割,"proportion, comparatively",割る,わる,"divide (st), crack, split",direct,,826
割,"proportion, comparatively",割れる,われる,"(st) cracks, splits, breaks (が)",direct,,827
割,"proportion, comparatively",割り算,わりざん,division,direct,,828
残,"remainder, leftover",残る,のこる,"remain, be left over",direct,,829
残,"remainder, leftover",残す,のこす,"leave, reserve, leave undone",direct,,830
残,"remainder, leftover",残念,ざんねん,"regretful, disappointing",direct,,1364
返,"return, answer",返す,かえす,"return, repay",direct,,831
返,"return, answer",返事,へんじ,"answer, reply",direct,,832
返,"return, answer",繰り返す,くりかえす,repeat を,direct,,1314
返,"return, answer",裏返す,うらがえす,"turn over, turn inside out",direct,,1341
借,"borrow, rent",借りる,かりる,borrow,direct,,833
貸,lend,貸す,かす,"lend, rent",direct,,834
貸,lend,貸し出す,かしだす,lend out<br>(used for businesses/banks),direct,,835
申,"have the honor to, sign of the monkey",申し込む,もうしこむ,"apply for, make a proposal",direct,,836
込,"crowded, mixture",申し込む,もうしこむ,"apply for, make a proposal",direct,,836
期,"period, time",期待,きたい,"expectation, anticipation",direct,,837
期,"period, time",期間,きかん,period (of time),direct,,839
期,"period, time",時期,じき,"time, period, season",direct,,840
期,"period, time",定期券,ていきけん,commuter pass,direct,,861
限,"limit, restrict",限る,かぎる,be limited to,direct,,841
急,"hurry, emergency",急ぐ,いそぐ,"hurry, hasten",direct,,842
急,"hurry, emergency",急に,きゅうに,"suddenly, unexpectedly",direct,,843
急,"hurry, emergency",急,きゅう,"urgent, sudden, steep",direct,,844
急,"hurry, emergency",急行,きゅうこう,"express train, going in a hurry",direct,,845
急,"hurry, emergency",特急,とっきゅう,limited express (train),direct,,1041
急,"hurry, emergency",救急車,きゅうきゅうしゃ,ambulance,direct,,1215
符,"token, sign",切符,きっぷ,ticket,figurative,cut + tally/tag → a cut token → ticket,851
券,ticket,入場券,にゅうじょうけん,entrance ticket,direct,,852
券,ticket,定期券,ていきけん,commuter pass,direct,,861
賃,"fare, fee",家賃,やちん,rent (money),direct,,853
代,"substitute, change",時代,じだい,"age, era, antiquity",direct,,854
代,"substitute, change",代わる,かわる,"take (st/sb's) place, substitute for",direct,,855
代,"substitute, change",代える,かえる,"replace (O1を) with (O2に), substitute",direct,,856
代,"substitute, change",代表,だいひょう,representative,direct,,939
指,"finger, point to",指,ゆび,"finger, toe",direct,,857
指,"finger, point to",指輪,ゆびわ,ring,direct,,1310
定,"determine, fix",決定,けってい,decision,direct,,858
定,"determine, fix",一定,いってい,"constant, fixed",direct,,860
定,"determine, fix",定期券,ていきけん,commuter pass,direct,,861
定,"determine, fix",予定,よてい,"schedule, plan",direct,,862
予,"beforehand, previous",予定,よてい,"schedule, plan",direct,,862
予,"beforehand, previous",天気予報,てんきよほう,weather forecast,direct,,863
予,"beforehand, previous",予習,よしゅう,preparation for class,direct,,865
予,"beforehand, previous",予約,よやく,"reservation, subscription, appointment",direct,,866
約,"promise, approximately",予約,よやく,"reservation, subscription, appointment",direct,,866
約,"promise, approximately",約束,やくそく,"promise, vow",direct,,867
約,"promise, approximately",契約,けいやく,"contract, agreement",direct,,1190
束,"bundle, sheaf",約束,やくそく,"promise, vow",direct,,867
化,"change, take the form of",変化,へんか,change,direct,,872
化,"change, take the form of",強化,きょうか,strengthening,direct,,873
化,"change, take the form of",文化,ぶんか,culture,direct,,874
化,"change, take the form of",化粧,けしょう,"makeup, put on makeup",direct,,1593
増,"increase, add",増える,ふえる,"increase, accrue が",direct,,875
増,"increase, add",増やす,ふやす,"increase (something), add を",direct,,876
増,"increase, add",増加,ぞうか,"increase, gain",direct,,1196
減,"dwindle, decrease",減る,へる,"decrease, diminish が",direct,,877
減,"dwindle, decrease",減らす,へらす,"decrease (something), reduce を",direct,,878
降,"descend, precipitate",降りる,おりる,"get off, land",direct,,880
降,"descend, precipitate",降ろす,おろす,"unload, lower",direct,,881
降,"descend, precipitate",降る,ふる,"fall, come down, rain",direct,,882
脱,"undress, removing",脱ぐ,ぬぐ,"remove clothes, take off",direct,,888
役,"duty, war",役に立つ,やくにたつ,"be useful, be helpful",figurative,role + stand → fulfills its role → useful,892
席,"seat, mat",出席,しゅっせき,"attendance, presence",direct,,893
席,"seat, mat",席,せき,"seat, one's place",direct,,895
席,"seat, mat",欠席,けっせき,"absence, non-attendance",direct,,896
欠,"lack, gap",欠席,けっせき,"absence, non-attendance",direct,,896
運,"carry, luck",運ぶ,はこぶ,"carry, transport",direct,,899
運,"carry, luck",運転,うんてん,drive,direct,,900
運,"carry, luck",運転手,うんてんしゅ,driver,direct,,901
運,"carry, luck",運動,うんどう,"exercise, movement",direct,,906
移,"shift, move",移る,うつる,"move, shift が",direct,,903
移,"shift, move",移す,うつす,"move (something), shift, transfer",direct,,904
在,"exist, outskirts",現在,げんざい,"the present, present time",direct,,919
在,"exist, outskirts",存在,そんざい,"existence, being",direct,,1071
現,"present, existing",現在,げんざい,"the present, present time",direct,,919
現,"present, existing",実現,じつげん,"realization, fulfillment",direct,,920
現,"present, existing",表現,ひょうげん,"expression (of views, feelings, etc.)",direct,,938
実,"reality, truth",実現,じつげん,"realization, fulfillment",direct,,920
実,"reality, truth",実施,じっし,"being in effect, implementation",direct,,921
実,"reality, truth",事実,じじつ,"fact, truth",direct,,922
実,"reality, truth",実行,じっこう,"(putting into) practice, execution",direct,,923
実,"reality, truth",実験,じっけん,experiment,direct,,924
実,"reality, truth",実際,じっさい,"reality, truth, the actual situation",direct,,1102
施,"give, bestow",実施,じっし,"being in effect, implementation",direct,,921
施,"give, bestow",施設,しせつ,"facilities, institution",direct,,1092
過,"overdo, exceed",通過,つうか,"passing, passage",direct,,925
過,"overdo, exceed",過ぎる,すぎる,"pass by, exceed",direct,,926
過,"overdo, exceed",昼過ぎ,ひるすぎ,just past noon,direct,,927
過,"overdo, exceed",過去,かこ,the past,direct,,929
発,"departure, discharge",開発,かいはつ,development,direct,,930
発,"departure, discharge",発生,はっせい,"occurrence, happening",direct,,931
発,"departure, discharge",発言,はつげん,"statement, remark",direct,,932
発,"departure, discharge",発見,はっけん,"discovery, revelation",direct,,933
発,"departure, discharge",出発,しゅっぱつ,"departure, starting",direct,,934
発,"departure, discharge",発車,はっしゃ,"depart, leave (for vehicles)",direct,,935
発,"departure, discharge",発表,はっぴょう,announcement,direct,,936
表,"surface, table",発表,はっぴょう,announcement,direct,,936
表,"surface, table",表現,ひょうげん,"expression (of views, feelings, etc.)",direct,,938
表,"surface, table",代表,だいひょう,representative,direct,,939
表,"surface, table",表,おもて,"front side, face, outside",direct,,940
表,"surface, table",表,ひょう,"list, table",direct,,941
絵,"picture, drawing",絵,え,"picture, painting, drawing",direct,,944
絵,"picture, drawing",絵葉書,えはがき,picture postcard,direct,,1476
誌,"document, records",雑誌,ざっし,"magazine, journal",direct,,945
誌,"document, records",週刊誌,しゅうかんし,weekly magazine,direct,,1342
音,"sound, noise",音,おと,"sound, noise",direct,,946
音,"sound, noise",音,おと,sound,direct,,948
音,"sound, noise",音楽,おんがく,music,direct,,949
音,"sound, noise",録音,ろくおん,audio recording,direct,,1141
薬,"medicine, chemical",薬,くすり,"drug, remedy, chemical",direct,,950
薬,"medicine, chemical",風邪薬,かぜぐすり,remedy for a cold,direct,,1720
袋,"sack, bag",ビニール袋,ビニールぶくろ,plastic bag,direct,,952
袋,"sack, bag",手袋,てぶくろ,gloves,direct,,1626
